YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2014,2014,ME,Maine,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,92,92,,,89.4,94,Race/Ethnicity,"White, non-Hispanic",,,,,,23,RPH,RPH2_0,CRDPREV,RACE,WHT,,,,
2017,2017,AR,Arkansas,PRAMS,Reproductive Health,Folic acid supplementation,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,05,RPH,RPH3_0,CRDPREV,OVERALL,OVR,,,,
2017,2017,NC,North Carolina,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,92.5,92.5,,,85.7,96.2,Race/Ethnicity,"Black, non-Hispanic",,,,,,37,RPH,RPH2_0,CRDPREV,RACE,BLK,,,,
2019,2019,RI,Rhode Island,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,44,RPH,RPH2_0,CRDPREV,RACE,MRC,,,,
2019,2019,ND,North Dakota,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,94.3,94.3,,,91.3,96.3,Race/Ethnicity,"White, non-Hispanic",,,,,,38,RPH,RPH2_0,CRDPREV,RACE,WHT,,,,
2018,2018,AK,Alaska,PRAMS,Reproductive Health,Folic acid supplementation,,%,Crude Prevalence,14.3,14.3,,,10.9,18.5,Race/Ethnicity,American Indian or Alaska Native,,,,,,02,RPH,RPH3_0,CRDPREV,RACE,AIAN,,,,
2013,2013,PR,Puerto Rico,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,72,RPH,RPH2_0,CRDPREV,OVERALL,OVR,,,,
2015,2015,NM,New Mexico,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,,,,,35,RPH,RPH2_0,CRDPREV,RACE,BLK,,,,
2018,2018,VA,Virginia,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,83.6,83.6,,,72.3,90.9,Race/Ethnicity,"Black, non-Hispanic",,,,,,51,RPH,RPH2_0,CRDPREV,RACE,BLK,,,,
2012,2012,MN,Minnesota,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,87.5,87.5,,,74.5,94.3,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,27,RPH,RPH2_0,CRDPREV,RACE,MRC,,,,
2018,2018,MN,Minnesota,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,92.2,92.2,&,"Less than 60 respondents, interpret with caution",81.8,96.9,Race/Ethnicity,Hispanic,,,,,,27,RPH,RPH2_0,CRDPREV,RACE,HIS,,,,
2014,2014,MO,Missouri,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,,,,,,29,RPH,RPH2_0,CRDPREV,RACE,API,,,,
2019,2019,AK,Alaska,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,92.8,92.8,,,89.4,95.1,Race/Ethnicity,"White, non-Hispanic",,,,,,02,RPH,RPH2_0,CRDPREV,RACE,WHT,,,,
2016,2016,IA,Iowa,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,86.3,86.3,,,82.1,89.6,Race/Ethnicity,"Black, non-Hispanic",,,,,,19,RPH,RPH2_0,CRDPREV,RACE,BLK,,,,
2013,2013,IN,Indiana,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,18,RPH,RPH2_0,CRDPREV,OVERALL,OVR,,,,
2017,2017,IA,Iowa,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,19,RPH,RPH2_0,CRDPREV,RACE,MRC,,,,
2019,2019,AK,Alaska,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,93.8,93.8,,,83.2,97.9,Race/Ethnicity,Hispanic,,,,,,02,RPH,RPH2_0,CRDPREV,RACE,HIS,,,,
2019,2019,GA,Georgia,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,82.9,82.9,,,72,90.1,Race/Ethnicity,Hispanic,,,,,,13,RPH,RPH2_0,CRDPREV,RACE,HIS,,,,
2019,2019,OR,Oregon,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,93.2,93.2,,,91.6,94.5,Overall,Overall,,,,,,41,RPH,RPH2_0,CRDPREV,OVERALL,OVR,,,,
2012,2012,OH,Ohio,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,90.5,90.5,&,"Less than 60 respondents, interpret with caution",77.2,96.4,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,39,RPH,RPH2_0,CRDPREV,RACE,MRC,,,,
2020,2020,VT,Vermont,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,,,,,50,RPH,RPH2_0,CRDPREV,RACE,BLK,,,,
2020,2020,IA,Iowa,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,84,84,,,79.6,87.7,Race/Ethnicity,"Black, non-Hispanic",,,,,,19,RPH,RPH2_0,CRDPREV,RACE,BLK,,,,
2014,2014,NY,New York,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,90.5,90.5,,,86.8,93.2,Race/Ethnicity,Hispanic,,,,,,36,RPH,RPH2_0,CRDPREV,RACE,HIS,,,,
2018,2018,IN,Indiana,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,88.9,88.9,&,"Less than 60 respondents, interpret with caution",77.4,94.9,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,18,RPH,RPH2_0,CRDPREV,RACE,MRC,,,,
2013,2013,NE,Nebraska,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,91.6,91.6,,,90,93.1,Overall,Overall,,,,,,31,RPH,RPH2_0,CRDPREV,OVERALL,OVR,,,,
2015,2015,OR,Oregon,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,91.2,91.2,,,88.9,93,Overall,Overall,,,,,,41,RPH,RPH2_0,CRDPREV,OVERALL,OVR,,,,
2014,2014,WV,West Virginia,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,,,,,,54,RPH,RPH2_0,CRDPREV,RACE,API,,,,
2013,2013,AL,Alabama,PRAMS,Reproductive Health,Folic acid supplementation,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,01,RPH,RPH3_0,CRDPREV,OVERALL,OVR,,,,
2013,2013,DE,Delaware,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,94.6,94.6,&,"Less than 60 respondents, interpret with caution",83.7,98.3,Race/Ethnicity,Asian or Pacific Islander,,,,,,10,RPH,RPH2_0,CRDPREV,RACE,API,,,,
2013,2013,CA,California,PRAMS,Reproductive Health,Folic acid supplementation,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,06,RPH,RPH3_0,CRDPREV,OVERALL,OVR,,,,
2020,2020,AR,Arkansas,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,82,82,,,64.8,91.9,Race/Ethnicity,Hispanic,,,,,,05,RPH,RPH2_0,CRDPREV,RACE,HIS,,,,
2013,2013,HI,Hawaii,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,88.2,88.2,,,85.7,90.2,Overall,Overall,,,,,,15,RPH,RPH2_0,CRDPREV,OVERALL,OVR,,,,
2018,2018,NM,New Mexico,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Other, non-Hispanic",,,,,,35,RPH,RPH2_0,CRDPREV,RACE,OTH,,,,
2012,2012,IA,Iowa,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,19,RPH,RPH2_0,CRDPREV,OVERALL,OVR,,,,
2017,2017,MD,Maryland,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,90.2,90.2,,,87.8,92.1,Overall,Overall,,,,,,24,RPH,RPH2_0,CRDPREV,OVERALL,OVR,,,,
2019,2019,WI,Wisconsin,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,92.1,92.1,,,87.7,95,Race/Ethnicity,"White, non-Hispanic",,,,,,55,RPH,RPH2_0,CRDPREV,RACE,WHT,,,,
2013,2013,CA,California,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,06,RPH,RPH2_0,CRDPREV,OVERALL,OVR,,,,
2013,2013,AZ,Arizona,PRAMS,Reproductive Health,Folic acid supplementation,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,04,RPH,RPH3_0,CRDPREV,OVERALL,OVR,,,,
2018,2018,AR,Arkansas,PRAMS,Reproductive Health,Folic acid supplementation,,%,Crude Prevalence,39.5,39.5,,,24.8,56.4,Race/Ethnicity,Hispanic,,,,,,05,RPH,RPH3_0,CRDPREV,RACE,HIS,,,,
2015,2015,VT,Vermont,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,89.6,89.6,,,87.1,91.7,Race/Ethnicity,"White, non-Hispanic",,,,,,50,RPH,RPH2_0,CRDPREV,RACE,WHT,,,,
2014,2014,OK,Oklahoma,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,99.1,99.1,&,"Less than 60 respondents, interpret with caution",95.7,99.8,Race/Ethnicity,Asian or Pacific Islander,,,,,,40,RPH,RPH2_0,CRDPREV,RACE,API,,,,
2014,2014,WA,Washington,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,89,89,,,82.4,93.3,Race/Ethnicity,"Black, non-Hispanic",,,,,,53,RPH,RPH2_0,CRDPREV,RACE,BLK,,,,
2019,2019,AL,Alabama,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Other, non-Hispanic",,,,,,01,RPH,RPH2_0,CRDPREV,RACE,OTH,,,,
2019,2019,ME,Maine,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,92.8,92.8,,,90.1,94.8,Race/Ethnicity,"White, non-Hispanic",,,,,,23,RPH,RPH2_0,CRDPREV,RACE,WHT,,,,
2012,2012,US,United States,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,87.8,87.8,,,86.2,89.2,Race/Ethnicity,"Black, non-Hispanic",,,,,,59,RPH,RPH2_0,CRDPREV,RACE,BLK,,,,
2020,2020,SD,South Dakota,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,98.1,98.1,&,"Less than 60 respondents, interpret with caution",89.6,99.7,Race/Ethnicity,Asian or Pacific Islander,,,,,,46,RPH,RPH2_0,CRDPREV,RACE,API,,,,
2018,2018,KS,Kansas,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,90.6,90.6,&,"Less than 60 respondents, interpret with caution",69.1,97.7,Race/Ethnicity,Asian or Pacific Islander,,,,,,20,RPH,RPH2_0,CRDPREV,RACE,API,,,,
2018,2018,US,United States,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,86.7,86.7,,,85.3,87.9,Race/Ethnicity,"Black, non-Hispanic",,,,,,59,RPH,RPH2_0,CRDPREV,RACE,BLK,,,,
2020,2020,WV,West Virginia,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Other, non-Hispanic",,,,,,54,RPH,RPH2_0,CRDPREV,RACE,OTH,,,,
2018,2018,PA,Pennsylvania,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,81.9,81.9,,,72,88.9,Race/Ethnicity,"Black, non-Hispanic",,,,,,42,RPH,RPH2_0,CRDPREV,RACE,BLK,,,,
2019,2019,FL,Florida,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Other, non-Hispanic",,,,,,12,RPH,RPH2_0,CRDPREV,RACE,OTH,,,,
2014,2014,NE,Nebraska,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,92.4,92.4,,,90.6,93.9,Overall,Overall,,,,,,31,RPH,RPH2_0,CRDPREV,OVERALL,OVR,,,,
2020,2020,KS,Kansas,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,92.2,92.2,&,"Less than 60 respondents, interpret with caution",75,97.9,Race/Ethnicity,Asian or Pacific Islander,,,,,,20,RPH,RPH2_0,CRDPREV,RACE,API,,,,
2020,2020,VA,Virginia,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,87.1,87.1,,,83.2,90.2,Overall,Overall,,,,,,51,RPH,RPH2_0,CRDPREV,OVERALL,OVR,,,,
2012,2012,TX,Texas,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,48,RPH,RPH2_0,CRDPREV,OVERALL,OVR,,,,
2016,2016,AR,Arkansas,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,84.7,84.7,,,74.1,91.5,Race/Ethnicity,"Black, non-Hispanic",,,,,,05,RPH,RPH2_0,CRDPREV,RACE,BLK,,,,
2013,2013,ID,Idaho,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,16,RPH,RPH2_0,CRDPREV,OVERALL,OVR,,,,
2019,2019,DC,District of Columbia,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,89.8,89.8,,,80.4,95,Race/Ethnicity,Hispanic,,,,,,11,RPH,RPH2_0,CRDPREV,RACE,HIS,,,,
2012,2012,MD,Maryland,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Other, non-Hispanic",,,,,,24,RPH,RPH2_0,CRDPREV,RACE,OTH,,,,
2018,2018,MT,Montana,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Other, non-Hispanic",,,,,,30,RPH,RPH2_0,CRDPREV,RACE,OTH,,,,
2015,2015,DE,Delaware,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,88.8,88.8,,,83.6,92.5,Race/Ethnicity,"Black, non-Hispanic",,,,,,10,RPH,RPH2_0,CRDPREV,RACE,BLK,,,,
2012,2012,AK,Alaska,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,81.1,81.1,,,76.3,85.1,Race/Ethnicity,American Indian or Alaska Native,,,,,,02,RPH,RPH2_0,CRDPREV,RACE,AIAN,,,,
2018,2018,WY,Wyoming,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,76.8,76.8,,,67,84.4,Race/Ethnicity,American Indian or Alaska Native,,,,,,56,RPH,RPH2_0,CRDPREV,RACE,AIAN,,,,
2014,2014,NE,Nebraska,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,89.3,89.3,,,84.9,92.5,Race/Ethnicity,Asian or Pacific Islander,,,,,,31,RPH,RPH2_0,CRDPREV,RACE,API,,,,
2017,2017,AL,Alabama,PRAMS,Reproductive Health,Folic acid supplementation,,%,Crude Prevalence,22.8,22.8,,,14.8,33.5,Race/Ethnicity,Hispanic,,,,,,01,RPH,RPH3_0,CRDPREV,RACE,HIS,,,,
2018,2018,AL,Alabama,PRAMS,Reproductive Health,Folic acid supplementation,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,01,RPH,RPH3_0,CRDPREV,RACE,MRC,,,,
2013,2013,VI,Virgin Islands,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,78,RPH,RPH2_0,CRDPREV,OVERALL,OVR,,,,
2018,2018,IA,Iowa,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,89.6,89.6,,,85.3,92.8,Race/Ethnicity,"Black, non-Hispanic",,,,,,19,RPH,RPH2_0,CRDPREV,RACE,BLK,,,,
2014,2014,GA,Georgia,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,13,RPH,RPH2_0,CRDPREV,OVERALL,OVR,,,,
2020,2020,CO,Colorado,PRAMS,Reproductive Health,Folic acid supplementation,,%,Crude Prevalence,29.5,29.5,,,23.5,36.2,Race/Ethnicity,Hispanic,,,,,,08,RPH,RPH3_0,CRDPREV,RACE,HIS,,,,
2018,2018,IL,Illinois,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,,,,,17,RPH,RPH2_0,CRDPREV,RACE,AIAN,,,,
2020,2020,HI,Hawaii,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,92.4,92.4,,,86.3,96,Race/Ethnicity,Hispanic,,,,,,15,RPH,RPH2_0,CRDPREV,RACE,HIS,,,,
2015,2015,LA,Louisiana,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,71.1,71.1,,,58.7,81.1,Race/Ethnicity,Hispanic,,,,,,22,RPH,RPH2_0,CRDPREV,RACE,HIS,,,,
2012,2012,CO,Colorado,PRAMS,Reproductive Health,Folic acid supplementation,,%,Crude Prevalence,40.2,40.2,,,36.4,44,Overall,Overall,,,,,,08,RPH,RPH3_0,CRDPREV,OVERALL,OVR,,,,
2012,2012,OK,Oklahoma,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,78.3,78.3,,,62.1,88.8,Race/Ethnicity,"Black, non-Hispanic",,,,,,40,RPH,RPH2_0,CRDPREV,RACE,BLK,,,,
2015,2015,WY,Wyoming,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,89.8,89.8,,,86.5,92.4,Overall,Overall,,,,,,56,RPH,RPH2_0,CRDPREV,OVERALL,OVR,,,,
2017,2017,IL,Illinois,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Other, non-Hispanic",,,,,,17,RPH,RPH2_0,CRDPREV,RACE,OTH,,,,
2013,2013,GA,Georgia,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,93,93,,,86.9,96.4,Race/Ethnicity,"Black, non-Hispanic",,,,,,13,RPH,RPH2_0,CRDPREV,RACE,BLK,,,,
2013,2013,US,United States,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,88.3,88.3,,,84.2,91.5,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,59,RPH,RPH2_0,CRDPREV,RACE,MRC,,,,
2017,2017,KS,Kansas,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,92.7,92.7,&,"Less than 60 respondents, interpret with caution",75.2,98.2,Race/Ethnicity,Asian or Pacific Islander,,,,,,20,RPH,RPH2_0,CRDPREV,RACE,API,,,,
2017,2017,VT,Vermont,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,93.7,93.7,,,91.4,95.4,Overall,Overall,,,,,,50,RPH,RPH2_0,CRDPREV,OVERALL,OVR,,,,
2016,2016,HI,Hawaii,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Other, non-Hispanic",,,,,,15,RPH,RPH2_0,CRDPREV,RACE,OTH,,,,
2016,2016,GU,Guam,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,66,RPH,RPH2_0,CRDPREV,OVERALL,OVR,,,,
2019,2019,OR,Oregon,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,88.1,88.1,,,85.3,90.4,Race/Ethnicity,Hispanic,,,,,,41,RPH,RPH2_0,CRDPREV,RACE,HIS,,,,
2015,2015,VT,Vermont,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,,,,,50,RPH,RPH2_0,CRDPREV,RACE,BLK,,,,
2012,2012,GA,Georgia,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,92.8,92.8,,,90.5,94.5,Overall,Overall,,,,,,13,RPH,RPH2_0,CRDPREV,OVERALL,OVR,,,,
2018,2018,UT,Utah,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,,,,,49,RPH,RPH2_0,CRDPREV,RACE,AIAN,,,,
2013,2013,IA,Iowa,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,19,RPH,RPH2_0,CRDPREV,RACE,MRC,,,,
2018,2018,ID,Idaho,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,16,RPH,RPH2_0,CRDPREV,OVERALL,OVR,,,,
2015,2015,IL,Illinois,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,91.3,91.3,,,89.6,92.8,Overall,Overall,,,,,,17,RPH,RPH2_0,CRDPREV,OVERALL,OVR,,,,
2014,2014,MD,Maryland,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,96.2,96.2,&,"Less than 60 respondents, interpret with caution",77.8,99.5,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,24,RPH,RPH2_0,CRDPREV,RACE,MRC,,,,
2016,2016,AK,Alaska,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,75,75,,,69.9,79.5,Race/Ethnicity,American Indian or Alaska Native,,,,,,02,RPH,RPH2_0,CRDPREV,RACE,AIAN,,,,
2019,2019,AR,Arkansas,PRAMS,Reproductive Health,Folic acid supplementation,,%,Crude Prevalence,29.9,29.9,,,24.5,36,Race/Ethnicity,"White, non-Hispanic",,,,,,05,RPH,RPH3_0,CRDPREV,RACE,WHT,,,,
2020,2020,FL,Florida,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,94.7,94.7,&,"Less than 60 respondents, interpret with caution",84.1,98.4,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,12,RPH,RPH2_0,CRDPREV,RACE,MRC,,,,
2012,2012,OR,Oregon,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,84.7,84.7,,,79.2,89,Race/Ethnicity,Hispanic,,,,,,41,RPH,RPH2_0,CRDPREV,RACE,HIS,,,,
2019,2019,MO,Missouri,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,,,,,29,RPH,RPH2_0,CRDPREV,RACE,AIAN,,,,
2016,2016,IA,Iowa,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,93.3,93.3,,,89.9,95.7,Race/Ethnicity,"White, non-Hispanic",,,,,,19,RPH,RPH2_0,CRDPREV,RACE,WHT,,,,
2017,2017,AL,Alabama,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Other, non-Hispanic",,,,,,01,RPH,RPH2_0,CRDPREV,RACE,OTH,,,,
2017,2017,CO,Colorado,PRAMS,Reproductive Health,Folic acid supplementation,,%,Crude Prevalence,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Other, non-Hispanic",,,,,,08,RPH,RPH3_0,CRDPREV,RACE,OTH,,,,
